Work type,Summary,Description,Work item ID,Parent
Story,"E1-01 Karte anlegen","Als Admin möchte ich einzelne Karten anlegen, damit sie im Shop verkauft werden können.",2001,KAN-1
Story,"E1-02 Kartendaten bearbeiten","Als Admin möchte ich Kartendaten bearbeiten, damit Informationen aktuell bleiben.",2002,KAN-1
Story,"E1-03 Karten klassifizieren","Als Admin möchte ich Karten Sportart, Liga, Verein, Spieler und Saison zuordnen.",2003,KAN-1
Story,"E1-04 Serien und Sets verwalten","Als Admin möchte ich Serien, Sets und Kollektionen verwalten.",2004,KAN-1
Story,"E1-05 Zustand und Grading erfassen","Als Admin möchte ich Zustand und Grading einer Karte erfassen.",2005,KAN-1
Story,"E1-06 Kartenbilder verwalten","Als Admin möchte ich mehrere Bilder pro Karte hochladen.",2006,KAN-1
Story,"E1-07 Kartenpreise verwalten","Als Admin möchte ich Preise und Preisänderungen verwalten.",2007,KAN-1
Story,"E1-08 Kartenbestand verwalten","Als Admin möchte ich Bestände und verfügbare Mengen pflegen.",2008,KAN-1
Story,"E1-09 Bundles und Sammlungen verwalten","Als Admin möchte ich Karten als Bundles oder Sammlungen zusammenstellen.",2009,KAN-1
Story,"E1-10 Kartenstatus verwalten","Als Admin möchte ich Karten als Entwurf, aktiv, ausverkauft oder inaktiv markieren.",2010,KAN-1
Story,"E1-11 Karten importieren und synchronisieren","Als Admin möchte ich Karten und Sets gesammelt importieren oder synchronisieren.",2011,KAN-1
Story,"E2-01 Karten suchen","Als Kunde möchte ich nach Karten, Spielern, Vereinen und Serien suchen.",2012,KAN-2
Story,"E2-02 Suchvorschläge erhalten","Als Kunde möchte ich während der Eingabe Suchvorschläge erhalten.",2013,KAN-2
Story,"E2-03 Nach Sportart und Saison filtern","Als Kunde möchte ich nach Sportart, Liga und Saison filtern.",2014,KAN-2
Story,"E2-04 Nach Kartentyp und Set filtern","Als Kunde möchte ich nach Kartentyp, Set und Seltenheit filtern.",2015,KAN-2
Story,"E2-05 Nach Zustand filtern","Als Kunde möchte ich nach Zustand und Grading filtern.",2016,KAN-2
Story,"E2-06 Nach Preis und Verfügbarkeit filtern","Als Kunde möchte ich nach Preis und Verfügbarkeit filtern.",2017,KAN-2
Story,"E2-07 Filter kombinieren","Als Kunde möchte ich mehrere Filter kombinieren.",2018,KAN-2
Story,"E2-08 Ergebnisse sortieren","Als Kunde möchte ich Ergebnisse sortieren.",2019,KAN-2
Story,"E2-09 Ergebnisse paginieren","Als Kunde möchte ich Ergebnisse paginiert oder kontinuierlich laden.",2020,KAN-2
Story,"E2-10 Produktdetailseite anzeigen","Als Kunde möchte ich auf einer Produktdetailseite alle Kartendaten sehen.",2021,KAN-2
Story,"E2-11 Produktbilder vergrößern","Als Kunde möchte ich Bilder vergrößern und durch eine Galerie blättern.",2022,KAN-2
Story,"E2-12 Ähnliche Karten anzeigen","Als Kunde möchte ich ähnliche oder passende Karten angezeigt bekommen.",2023,KAN-2
Story,"E2-13 Leere und fehlerhafte Ergebnisse verstehen","Als Kunde möchte ich verständliche Zustände bei leeren oder fehlerhaften Suchergebnissen sehen.",2024,KAN-2
Story,"E3-01 Karte in den Warenkorb legen","Als Kunde möchte ich eine Karte in den Warenkorb legen.",2025,KAN-3
Story,"E3-02 Warenkorbmenge ändern","Als Kunde möchte ich die Menge im Warenkorb ändern.",2026,KAN-3
Story,"E3-03 Warenkorbartikel entfernen","Als Kunde möchte ich Artikel aus dem Warenkorb entfernen.",2027,KAN-3
Story,"E3-04 Gesamtpreis anzeigen","Als Kunde möchte ich jederzeit den aktuellen Gesamtpreis sehen.",2028,KAN-3
Story,"E3-05 Nichtverfügbarkeit erkennen","Als Kunde möchte ich informiert werden, wenn ein Artikel nicht mehr verfügbar ist.",2029,KAN-3
Story,"E3-06 Warenkorb persistent halten","Als Kunde möchte ich meinen Warenkorb über mehrere Seitenaufrufe hinweg behalten.",2030,KAN-3
Story,"E3-07 Als Gast bestellen","Als Gast möchte ich ohne Kundenkonto bestellen können.",2031,KAN-3
Story,"E3-08 Mit Kundenkonto bestellen","Als eingeloggter Kunde möchte ich mit meinem Kundenkonto bestellen.",2032,KAN-3
Story,"E3-09 Lieferadresse verwalten","Als Kunde möchte ich meine Lieferadresse eingeben und ändern können.",2033,KAN-3
Story,"E3-10 Versandart auswählen","Als Kunde möchte ich verfügbare Versandarten und Versandkosten sehen.",2034,KAN-3
Story,"E3-11 Bestellung vor dem Kauf prüfen","Als Kunde möchte ich vor dem Kauf alle Bestelldaten prüfen.",2035,KAN-3
Story,"E3-12 Formularfehler verstehen","Als Kunde möchte ich verständliche Hinweise bei fehlenden oder fehlerhaften Angaben erhalten.",2036,KAN-3
