Issue Key,Summary,Xray Status,Laeufe,Alle Ergebnisse,Letzte Ausfuehrung,Letztes Datum
KAN-565,E1-01 Karte anlegen - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:17:45.367Z
KAN-566,E1-01 Karte anlegen - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:16:42.554Z
KAN-567,E1-01 Karte anlegen - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T08:15:47.984Z
KAN-568,E1-02 Kartendaten bearbeiten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:14:45.323Z
KAN-569,E1-02 Kartendaten bearbeiten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:13:47.837Z
KAN-570,E1-02 Kartendaten bearbeiten - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T08:12:45.884Z
KAN-571,E1-03 Karten klassifizieren - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:11:45.940Z
KAN-572,E1-03 Karten klassifizieren - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:10:46.569Z
KAN-573,E1-03 Karten klassifizieren - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T08:09:51.135Z
KAN-574,E1-04 Serien und Sets verwalten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:08:43.583Z
KAN-575,E1-04 Serien und Sets verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:07:35.981Z
KAN-576,E1-04 Serien und Sets verwalten - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T08:06:33.490Z
KAN-577,E1-05 Zustand und Grading erfassen - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:05:37.953Z
KAN-578,E1-05 Zustand und Grading erfassen - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:04:33.451Z
KAN-579,E1-05 Zustand und Grading erfassen - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T08:03:26.259Z
KAN-580,E1-06 Kartenbilder verwalten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T08:02:30.049Z
KAN-581,E1-06 Kartenbilder verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T08:00:20.581Z
KAN-582,E1-06 Kartenbilder verwalten - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T07:59:17.667Z
KAN-583,E1-07 Kartenpreise verwalten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T07:58:22.563Z
KAN-584,E1-07 Kartenpreise verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T07:57:22.078Z
KAN-585,E1-07 Kartenpreise verwalten - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T07:56:16.125Z
KAN-586,E1-08 Kartenbestand verwalten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T07:55:16.991Z
KAN-587,E1-08 Kartenbestand verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T07:54:10.513Z
KAN-588,E1-08 Kartenbestand verwalten - Berechtigung und Betrieb,PASSED,1,PASSED,KAN-899,2026-08-15T07:53:09.429Z
KAN-589,E1-09 Bundles und Sammlungen verwalten - Happy Path,FAILED,1,FAILED,KAN-899,2026-08-15T07:52:14.126Z
KAN-590,E1-09 Bundles und Sammlungen verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T07:51:11.404Z
KAN-591,E1-09 Bundles und Sammlungen verwalten - Berechtigung und Betrieb,FAILED,1,FAILED,KAN-899,2026-08-15T07:45:26.196Z
KAN-592,E1-10 Kartenstatus verwalten - Happy Path,PASSED,1,PASSED,KAN-899,2026-08-15T07:44:25.783Z
KAN-593,E1-10 Kartenstatus verwalten - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T07:43:30.485Z
KAN-594,E1-10 Kartenstatus verwalten - Berechtigung und Betrieb,FAILED,1,FAILED,KAN-899,2026-08-15T07:42:31.482Z
KAN-595,E1-11 Karten importieren und synchronisieren - Happy Path,PASSED,1,PASSED,KAN-899,2026-08-15T07:41:36.498Z
KAN-596,E1-11 Karten importieren und synchronisieren - Negative und Grenzwerte,PASSED,1,PASSED,KAN-899,2026-08-15T07:40:35.291Z
KAN-597,E1-11 Karten importieren und synchronisieren - Berechtigung und Betrieb,FAILED,1,FAILED,KAN-899,2026-08-15T07:39:30.053Z
KAN-598,E2-01 Karten suchen - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:38:30.939Z
KAN-599,E2-01 Karten suchen - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:37:35.939Z
KAN-600,E2-01 Karten suchen - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:36:34.067Z
