Issue Key,Story Code,Status,Beleg,Luecke
KAN-10,E1-01,VORHANDEN,app/admin/products-panel.tsx (Formular „Karte von Hand einstellen“); app/api/admin/products/route.ts; tests/manual-cards.test.mjs,
KAN-11,E1-02,TEILWEISE,app/api/admin/products/route.ts; app/admin/products-panel.tsx Zeile 22 (FELDNAMEN),"Bearbeitbar sind nur Titel, Beschreibung und Sichtbarkeit. Preis, Bilder und Bestand lassen sich nach dem Anlegen nicht mehr aendern."
KAN-12,E1-03,OFFEN,db/schema.ts Zeile 72 (products),"Es gibt keine Klassifikationsfelder. Der Katalog ist titelbasiert; Sportart, Spieler und Kartentyp stehen nur im Freitexttitel."
KAN-13,E1-04,OFFEN,db/schema.ts Zeile 72 (products),"Serien und Sets sind nicht modelliert; keine Tabelle, kein Feld, keine Verwaltung."
KAN-14,E1-05,OFFEN,db/schema.ts Zeile 72 (products),Zustand und Grading sind nicht als Felder vorhanden; die Angabe steckt unstrukturiert in Titel und Beschreibung.
KAN-15,E1-06,VORHANDEN,db/schema.ts Zeile 134 (product_assets); lib/ebay-images.ts; app/api/products/[id]/assets/[assetId]/route.ts,
KAN-16,E1-07,TEILWEISE,db/schema.ts Zeile 72 (price_amount_cents); lib/offer-price.ts; db/schema.ts Zeile 100 (ebay_listings),Preise kommen aus dem eBay-Listing oder werden beim Anlegen gesetzt. Eine Preispflege im Adminbereich fehlt.
KAN-17,E1-08,TEILWEISE,db/schema.ts Zeile 149 (inventory); lib/ebay-stock-check.ts; lib/ebay-stock-guard.ts,Bestand wird durch Sync und Bestellvorgang fortgeschrieben. Eine manuelle Korrektur durch Admins fehlt (siehe E7-06).
KAN-18,E1-09,OFFEN,"db/schema.ts Zeile 72 (kind: EBAY_SYNCED, PRELISTED)",Bundles und Sammlungen sind kein eigener Produkttyp. Ein Sammelangebot ist nur ein Produkt mit entsprechendem Titel.
KAN-19,E1-10,VORHANDEN,db/schema.ts Zeile 72 (status ACTIVE/INACTIVE/SOLD); app/api/admin/products/route.ts,
KAN-20,E1-11,VORHANDEN,lib/ebay-sync.ts; lib/ebay-sync-diff.ts; app/api/admin/ebay-sync/route.ts; tests/ebay-sync-diff.test.mjs,
KAN-21,E2-01,VORHANDEN,"app/api/products/route.ts Zeile 93 und 109 (Freitextsuche ueber Titel, Beschreibung, SKU); app/karten/page.tsx Zeile 163",
KAN-22,E2-02,OFFEN,app/karten/page.tsx Zeile 163 (einfaches Eingabefeld),Es gibt keine Vorschlagsliste und keinen Autocomplete-Endpunkt.
KAN-23,E2-03,OFFEN,"app/api/products/route.ts Zeile 94 (nur category, origin, Preis)",Ohne Sportart- und Saisonfelder im Datenmodell ist dieser Filter nicht baubar (haengt an E1-03).
KAN-24,E2-04,OFFEN,"app/api/products/route.ts Zeile 20 (CATEGORIES: fixed, manual, prelisted)","Die vorhandene Kategorie ist die Verkaufsart, nicht Kartentyp oder Set (haengt an E1-03 und E1-04)."
KAN-25,E2-05,OFFEN,app/api/products/route.ts Zeile 103 (Filterliste),"Kein Zustandsfilter, weil der Zustand nicht strukturiert erfasst ist (haengt an E1-05)."
KAN-26,E2-06,VORHANDEN,app/api/products/route.ts Zeile 100 (min/max); app/karten/page.tsx Zeile 176 und 180; lib/catalog-availability.ts,
KAN-27,E2-07,TEILWEISE,app/api/products/route.ts Zeile 103 und 124 (and-Verknuepfung aller Filter),Die vorhandenen Filter sind kombinierbar. Es fehlen die Filterdimensionen aus E2-03 bis E2-05.
