Issue Key,Work type,Summary,Description,Priority,Epic
KAN-10,Story,E1-01 Karte anlegen,"Als Admin möchte ich einzelne Karten anlegen, damit sie im Shop verkauft werden können.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-11,Story,E1-02 Kartendaten bearbeiten,"Als Admin möchte ich Kartendaten bearbeiten, damit Informationen aktuell bleiben.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-12,Story,E1-03 Karten klassifizieren,"Als Admin möchte ich Karten Sportart, Liga, Verein, Spieler und Saison zuordnen.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-13,Story,E1-04 Serien und Sets verwalten,"Als Admin möchte ich Serien, Sets und Kollektionen verwalten.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-14,Story,E1-05 Zustand und Grading erfassen,"Als Admin möchte ich Zustand und Grading einer Karte erfassen.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-15,Story,E1-06 Kartenbilder verwalten,"Als Admin möchte ich mehrere Bilder pro Karte hochladen.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-16,Story,E1-07 Kartenpreise verwalten,"Als Admin möchte ich Preise und Preisänderungen verwalten.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-17,Story,E1-08 Kartenbestand verwalten,"Als Admin möchte ich Bestände und verfügbare Mengen pflegen.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-18,Story,E1-09 Bundles und Sammlungen verwalten,"Als Admin möchte ich Karten als Bundles oder Sammlungen zusammenstellen.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",High,KAN-1
KAN-19,Story,E1-10 Kartenstatus verwalten,"Als Admin möchte ich Karten als Entwurf, aktiv, ausverkauft oder inaktiv markieren.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
